# A b Om H0
1.704438203107818683e+00 2.624738540951982557e+01 1.224498635346381453e-01 6.958075137366667207e+01
1.736583065602700371e+00 2.628532945104767649e+01 1.213116665819529011e-01 6.946781059871574371e+01
1.705803022416238379e+00 2.663179981418674558e+01 1.245954426237069895e-01 6.965183915338522525e+01
1.674181813418199827e+00 2.616452168201903206e+01 1.214521233477907219e-01 6.975946973303500442e+01
1.533065816990119679e+00 2.618166872102837317e+01 1.253767957919441622e-01 6.991859231644801298e+01
1.426461151293994423e+00 2.626436802806205506e+01 1.270516481095341210e-01 7.007888987160825423e+01
1.416109127894331188e+00 2.628278689148782021e+01 1.272543086542184398e-01 7.021641748878474232e+01
1.506185016454246517e+00 2.681762097444574877e+01 1.242578605214106069e-01 7.027826368719753702e+01
1.578960508813834540e+00 2.631214307070532499e+01 1.271917657158228576e-01 6.992805486357585210e+01
1.271040414552357278e+00 2.599457322890081912e+01 1.224856126887325924e-01 7.060029169069066768e+01
1.585289217718535371e+00 2.604559978051809566e+01 1.243880184072185674e-01 6.972472485114732876e+01
1.502956185275445167e+00 2.623891021119845490e+01 1.209524524140010576e-01 7.022832833639557748e+01
1.506177056574512729e+00 2.592905865427731271e+01 1.258095329845991817e-01 6.997788918577292350e+01
1.609049658572651476e+00 2.637454805865448648e+01 1.259834790363750512e-01 6.967391169041670196e+01
1.441166723739839561e+00 2.640014546449694777e+01 1.272359753609667854e-01 7.006788777695120984e+01
1.534148125951018127e+00 2.625028817048340457e+01 1.233499167593804097e-01 6.992021861299637919e+01
1.581681069890130242e+00 2.681736977206030303e+01 1.234959908838844794e-01 6.982629180062757257e+01
1.523303792783224697e+00 2.660428305245283909e+01 1.238717818897865086e-01 7.008234967354988498e+01
1.607302412054031127e+00 2.620676358625869184e+01 1.272183851538883081e-01 6.968081584921648641e+01
1.444534662565909677e+00 2.618771407105363025e+01 1.233460863744716834e-01 7.015683498230048087e+01
1.591145739632253919e+00 2.625430685385618546e+01 1.243253691113466591e-01 6.978377294402859832e+01
1.638944278682131106e+00 2.623559750940939139e+01 1.232619400228762846e-01 6.968407619971713984e+01
1.705803022416238379e+00 2.663179981418674558e+01 1.245954426237069895e-01 6.965183915338522525e+01
